INDEX,ID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,TIME
1,9016035363,1982/6/8,4,104,30,0,1,1,130431,20,,0,0,0,3,"66,800",是,1,1,0,1,"16,600",正常,1,2021/7/31
2,9025421743,1994/1/2,4,199,,0,1,2,522128,90,,0,0,0,3,,否,1,1,0,38,,正常,1,2021/7/31
3,9037644629,1980/11/28,4,199,,0,1,1,130322,,,0,0,0,7,,否,1,1,0,3,,正常,1,2021/7/31
4,9040768081,1994/8/10,4,,,0,1,1,410725,,,0,0,0,0,,否,1,1,1,1,,正常,1,2021/7/31
5,9035268444,1992/1/28,4,199,20,0,8,1,452101,,,0,0,0,13,,否,1,1,0,5,,正常,2,2021/7/31
6,9014973338,1992/12/20,4,199,30,0,1,1,321101,90,,0,0,0,2,"15,000",是,1,1,1,11,0,正常,2,2021/7/31
7,9039754610,1997/5/13,6,199,,0,1,2,131127,,,0,0,0,2,,否,1,1,2,13,,正常,1,2021/7/31
8,9039342052,1995/5/6,4,199,,0,1,2,522123,,,0,0,0,3,,否,1,1,0,1,,正常,1,2021/7/31
9,9011650888,1982/9/1,4,199,99,0,1,1,340102,90,,0,0,0,8,"4,500",是,1,1,0,4,0,正常,1,2021/7/31
10,9020572610,1986/9/7,0,199,30,0,1,1,340121,20,4,0,0,0,7,"269,600",是,1,1,0,2,"91,692.54",正常,1,2021/7/31
11,9039485710,1994/10/20,4,199,,0,1,1,371327,,,0,0,0,3,,否,1,1,0,10,,正常,1,2021/7/31
12,9012505118,1980/9/20,1,199,30,0,1,2,511027,20,4,0,0,0,3,,否,1,1,0,2,,正常,2,2021/7/31
13,9038930622,1991/8/7,4,199,,0,1,1,450803,,,0,0,0,4,,否,1,1,0,2,,正常,1,2021/7/31
14,9040617568,1986/2/14,4,199,,0,1,1,410181,,,0,0,0,0,,否,1,1,0,9,,正常,1,2021/7/31
15,9015052481,1988/2/17,4,199,20,0,1,1,612701,20,,0,0,0,4,,否,1,1,0,44,,正常,2,2021/7/31
16,9023392378,1987/4/4,4,199,20,0,1,1,440982,10,,0,0,0,3,,否,1,1,0,1,,正常,1,2021/7/31
17,9007310384,1994/6/26,4,199,99,0,1,1,430522,10,4,0,0,0,4,"6,700",是,1,6,0,64,0,正常,1,2021/7/31
18,9036507594,1989/11/18,4,199,20,0,1,1,430903,,,0,0,0,10,,否,1,1,0,8,,正常,2,2021/7/31
19,9035555312,1989/2/17,0,199,20,0,1,1,430781,90,,0,0,0,8,,否,1,1,0,3,,正常,1,2021/7/31
20,9035563271,1993/10/31,4,199,20,0,1,1,510122,,,0,0,0,12,,否,1,1,0,24,,正常,2,2021/7/31
21,9040092681,1986/1/15,4,199,,0,1,2,430426,,,0,0,0,1,,否,1,1,0,1,,正常,1,2021/7/31
22,9012850134,1990/8/20,4,105,30,0,1,1,362226,20,Y,0,0,0,6,"279,790",是,1,1,0,2,"96,596.41",正常,1,2021/7/31
23,9039179360,1990/8/2,4,199,,0,1,2,500235,,,0,0,0,3,,否,1,1,0,14,,正常,1,2021/7/31
24,9038986188,1992/5/12,4,199,,0,1,1,362427,,,0,0,0,4,,否,1,1,1,49,,正常,2,2021/7/31
25,9040704932,1996/12/29,4,,,0,1,1,420625,,,0,0,0,0,,否,1,6,7,9,,正常,1,2021/7/31
26,9019221323,1979/8/17,4,199,10,0,1,1,430422,20,2,0,0,0,6,,否,1,1,0,2,,正常,1,2021/7/31
27,9038616315,1984/2/10,4,199,,0,1,1,410185,,,0,0,0,4,,否,1,1,0,1,,正常,1,2021/7/31
28,9038074802,1992/8/5,1,199,,0,1,1,342422,,,0,0,0,6,,否,1,1,0,25,,正常,1,2021/7/31
29,9038741992,1985/1/30,4,199,,0,8,2,452702,90,,0,0,0,2,,否,1,1,0,1,,正常,1,2021/7/31
30,9036049207,1981/9/17,4,199,,0,1,1,410823,90,,0,0,0,6,"99,008",是,1,1,0,1,"52,754.66",正常,1,2021/7/31
31,9012695228,1986/11/21,4,199,20,1,1,1,622201,20,4,0,1,0,6,"1,315,000",是,2,3,0,1,"200,000",正常,1,2021/7/31
32,9038984293,1969/11/14,4,199,,0,1,1,370703,,,0,0,0,4,,否,1,1,0,48,,正常,1,2021/7/31
33,9038885765,1986/8/23,4,199,20,0,1,1,440804,,,0,0,0,1,,否,1,1,1,1,,正常,1,2021/7/31
34,9028324273,1986/8/25,4,199,60,0,1,1,530325,20,4,0,0,0,1,,否,1,1,0,1,,正常,1,2021/7/31
35,9039475661,1985/3/7,4,199,,0,1,2,610527,,,0,0,0,3,,否,1,1,1,22,,正常,2,2021/7/31
36,9000157171,1990/8/2,4,199,99,0,6,1,500243,90,,"60,000",0,0,3,"1,000",是,1,1,0,5,0,正常,2,2021/7/31
37,9038873907,1999/1/25,Y,199,,0,1,1,440513,,,0,0,0,4,,否,1,1,1,9,,正常,1,2021/7/31
38,9010826009,1992/7/9,0,199,99,0,1,1,440105,20,,0,0,0,6,"16,888",是,1,1,0,1,"1,144.25",正常,1,2021/7/31
39,9038784803,1986/6/10,4,199,,0,1,1,210106,,,0,0,0,4,,否,1,1,1,99,,正常,4,2021/7/31
